,id,subjectivity,sentiment_magnitude,anger,disgust,fear,joy,neutral,sadness,surprise,sentence,sentiment_intensity,article_id,sentence_count
0,1,0.03913379833102226,0.0,0.02510911412537098,0.048520468175411224,0.01198894064873457,0.020202839747071266,0.8073606491088867,0.0544012226164341,0.03241684287786484,WASHINGTON (Reuters) -,0.0,0,14
1,2,0.35884973406791687,0.20000000298023224,0.3717769682407379,0.14290039241313934,0.2616664171218872,0.00788318645209074,0.1672862023115158,0.03725546598434448,0.011231348849833012,"A U.S. congressional committee on Friday asked the Trump administration to disclose an estimate of the number of Americans whose digital communications are incidentally collected under foreign surveillance programs, according to a letter seen by Reuters.  ",-0.20000000298023224,0,14
2,3,0.8339912295341492,0.10000000149011612,0.020090408623218536,0.01973789557814598,0.8068058490753174,0.0024798607919365168,0.1354844570159912,0.007498081773519516,0.007903489284217358,"Such an estimate is “crucial as we contemplate reauthorization,” of parts of the Foreign Intelligence Surveillance Act that are due to expire at the end of the year, House Judiciary Committee Chairman Bob Goodlatte, a Republican, and John Conyers, the panel’s top Democrat, wrote in a letter addressed to Director of National Intelligence Dan Coats.  ",-0.10000000149011612,0,14
3,4,0.8116959929466248,0.30000001192092896,0.09785415977239609,0.025216706097126007,0.1966310739517212,0.006850383244454861,0.1278591752052307,0.00227803410962224,0.5433104634284973,"The request comes as some Republican lawmakers, many of whom have stridently defended U.S. surveillance programs in the past, express sudden interest in considering additional privacy safeguards to how U.S. spy agencies collect and share intelligence that contains information about Americans.  ",-0.30000001192092896,0,14
4,5,0.7076992392539978,0.699999988079071,0.23196563124656677,0.05467092990875244,0.5230872631072998,0.00279850116930902,0.1653178632259369,0.009144771844148636,0.013015041127800941,"That interest has been sparked by evolving, unsubstantiated assertions that the Obama White House used surveillance powers to improperly spy on the incoming Trump administration.  ",-0.699999988079071,0,14
5,6,0.7374382019042969,0.4000000059604645,0.30542853474617004,0.0755409449338913,0.2305518537759781,0.003710561664775014,0.35572049021720886,0.024636290967464447,0.004411246627569199,"Privacy advocates have for years demanded that the U.S. government share an estimate of how many Americans are ensnared by programs authorized under a certain part of FISA, known as Section 702, that allows for the collection of vast quantities of internet communications from foreigners believed to be living overseas.   ",-0.4000000059604645,0,14
6,7,0.3700576424598694,0.6000000238418579,0.022161168977618217,0.007114832755178213,0.9512684941291809,0.0019313293742015958,0.009349462576210499,0.006290673278272152,0.0018839957192540169,"Some experts and lawmakers have said they believe data on  millions of Americans could be caught under such surveillance, exposing them to warrantless searches by federal investigators.  ",-0.6000000238418579,0,14
7,8,0.12020953744649887,0.20000000298023224,0.08683788031339645,0.018657822161912918,0.3741704821586609,0.004631787538528442,0.4842348098754883,0.022594133391976357,0.008873033337295055,"“It is clear that Section 702 surveillance programs can and do collect information about U.S. persons, on subjects unrelated to counter-terrorism,” wrote Goodlatte and Conyers, who requested a response by April 24.",-0.20000000298023224,0,14
8,9,0.46706652641296387,0.0,0.039714209735393524,0.07742942124605179,0.31258776783943176,0.006204312201589346,0.5430579781532288,0.01427703071385622,0.0067293401807546616,“It is imperative that we understand the size of this impact on U.S. persons as our committee proceeds with the debate on reauthorization.”  ,0.0,0,14
9,10,0.3588903248310089,0.20000000298023224,0.02249164506793022,0.017660783603787422,0.07801537960767746,0.04491134360432625,0.8201009035110474,0.011596298776566982,0.005223637446761131,"In a separate letter sent last December to the outgoing Obama administration, members of the House Judiciary Committee said they were given assurances by officials that an estimate would be provided, likely by January of this year.  ",-0.20000000298023224,0,14
10,11,0.11775881797075272,0.10000000149011612,0.017501257359981537,0.01603757217526436,0.049863096326589584,0.006793089210987091,0.8676130771636963,0.020716430619359016,0.021475503221154213,"Richard Ledgett, the deputy director of the National Security Agency, said “yes” when asked by a Reuters reporter last month whether an estimate would be provided before year end.",-0.10000000149011612,0,14
11,12,0.4480198919773102,0.0,0.007195185869932175,0.009247510693967342,0.006297167390584946,0.00847582146525383,0.9592273235321045,0.003153506200760603,0.006403385661542416,"He also said about 20 “vignettes” would be publicly released that show the important national security value of Section 702, which officials have described as among the most important intelligence tools at their disposal.  ",0.0,0,14
12,13,0.23558814823627472,0.30000001192092896,0.08490528166294098,0.06348810344934464,0.1455301195383072,0.013687136583030224,0.3763794004917145,0.29825735092163086,0.017752517014741898,"Section 702 will expire on Dec. 31, 2017, absent congressional action.   ",-0.30000001192092896,0,14
13,14,0.06321976333856583,0.0,0.003940338734537363,0.006103475112468004,0.01907576061785221,0.05575931817293167,0.8264170289039612,0.026932740584015846,0.061771292239427567,Reporting by Dustin Volz; Editing by Steve Orlofsky,0.0,0,14
14,15,0.03913379833102226,0.0,0.02510911412537098,0.048520468175411224,0.01198894064873457,0.020202839747071266,0.8073606491088867,0.0544012226164341,0.03241684287786484,WASHINGTON (Reuters) -,0.0,1,24
15,16,0.7536828517913818,0.20000000298023224,0.02793789841234684,0.006883925758302212,0.9397258162498474,0.001574923750013113,0.017339393496513367,0.00491890124976635,0.001619243063032627,"Like the deal-maker he says he is, U.S. President Donald Trump appears to be keeping his options open as his Republican Party threatens to erupt into full-scale war.   ",-0.20000000298023224,1,24
16,17,0.3486630618572235,0.30000001192092896,0.17201294004917145,0.21213887631893158,0.15230701863765717,0.03562049940228462,0.40144863724708557,0.02448812685906887,0.0019839610904455185,"On Monday, almost immediately after saying he empathized with the effort by his former strategist Steve Bannon to back challenges against Republican senators in next year’s congressional elections, Trump stood with Senate Majority Leader Mitch McConnell, pledging party unity and saying they were “fighting for the same thing.”  ",-0.30000001192092896,1,24
17,18,0.7431594729423523,0.4000000059604645,0.8883461952209473,0.051392193883657455,0.02602115087211132,0.001024009776301682,0.025411151349544525,0.005959602538496256,0.001845692633651197,"For months, McConnell had been the object of Trump’s wrath for the failure of the Republican-led Congress to repeal and replace the Affordable Care Act, known as Obamacare - a longtime Republican goal and a key promise of Trump’s 2016 campaign.  ",-0.4000000059604645,1,24
18,19,0.7611305117607117,0.10000000149011612,0.04638266935944557,0.13060110807418823,0.13904520869255066,0.012944618239998817,0.649907112121582,0.01816064491868019,0.002958595985546708,"In the White House Rose Garden, Trump played down any conflict, saying the two were “closer than ever before.”  ",0.10000000149011612,1,24
