,id,subjectivity,sentiment_magnitude,anger,disgust,fear,joy,neutral,sadness,surprise,sentence,sentiment_intensity,article_id,sentence_count
0,1,0.08615178614854813,0.20000000298023224,0.0067811585031449795,0.015115054324269295,0.002648702124133706,0.009540624916553497,0.8405849933624268,0.052234578877687454,0.07309488952159882,"On this measure, Sanders fell to second.",-0.20000000298023224,0,24
1,2,0.12275736778974533,0.0,0.008515867404639721,0.005636108107864857,0.0029183148872107267,0.03324016183614731,0.8388268351554871,0.006189676467329264,0.10467304289340973,"Warren was first, at 68 percent, followed by Sanders (57 percent), Kamala Harris (40 percent) and Buttigieg (38 percent).",0.0,0,24
2,3,0.8648978471755981,0.20000000298023224,0.008742444217205048,0.0034659244120121002,0.006507216487079859,0.00936269573867321,0.9104486703872681,0.0022321538999676704,0.0592409148812294,"The survey was conducted before last week’s debates, so it’s reasonable to think the numbers for Harris and Buttigieg may have risen.
",0.20000000298023224,0,24
3,4,0.8712446093559265,0.5,0.015228772535920143,0.03380124270915985,0.004553836304694414,0.0026810583658516407,0.6941110491752625,0.017455250024795532,0.2321687638759613,"What about Biden?
Only 26 percent of donors said they were considering him.",-0.20000000298023224,0,24
4,5,0.5773158073425293,0.0,0.01613997109234333,0.12381758540868759,0.0064363498240709305,0.009961343370378017,0.5590646266937256,0.049293152987957,0.23528695106506348,Even among Hillary Clinton’s 2016 donors — presumably a more moderate group of Democrats — Biden came in fourth.,0.0,0,24
5,6,0.28419676423072815,0.10000000149011612,0.005927665159106255,0.008992606773972511,0.0021127094514667988,0.04472917318344116,0.8349360823631287,0.0037641057278960943,0.09953764081001282,"Harris drew the broadest potential support among Clinton donors, followed by Warren and Buttigieg.
",0.10000000149011612,0,24
6,7,0.6674021482467651,0.4000000059604645,0.03283006697893143,0.08860937505960464,0.05772320181131363,0.003429950447753072,0.15291140973567963,0.6563012003898621,0.00819480326026678,"Nathaniel Lubin, the chief executive of Survey 160, which helped conduct the poll, told me that Biden’s relative lack of a policy agenda so far may be hurting him.",-0.4000000059604645,0,24
7,8,0.28331369161605835,0.20000000298023224,0.01846984215080738,0.03996365889906883,0.002195647917687893,0.009032736532390118,0.8863495588302612,0.004668313078582287,0.03932018578052521,"When asked whether they wanted a candidate to focus on a policy agenda or on standing up to President Trump, almost 80 percent of donors chose policy.
",-0.20000000298023224,0,24
8,9,0.9496703147888184,0.10000000149011612,0.007985844276845455,0.00713687390089035,0.0035694921389222145,0.008311784826219082,0.9488506317138672,0.008197661489248276,0.015947697684168816,"Obviously, Biden can still win the nomination.",0.10000000149011612,0,24
9,10,0.5383569002151489,0.30000001192092896,0.0031045100186020136,0.004086731001734734,0.0008371359435841441,0.0325247198343277,0.9471274018287659,0.0045387642458081245,0.007780884392559528,"He still has time to release a detailed agenda, and he remains popular among rank-and-file Democrats.",0.30000001192092896,0,24
